img_idx,cellA,cellB
_20240911145153_viewcapture-1.1,57,101
_20240911145153_viewcapture-1.2,70,61
_20240911145153_viewcapture-1.3,93,52
_20240911145153_viewcapture-1.4,80,51
_20240911145153_viewcapture-2.1,39,94
_20240911145153_viewcapture-2.2,84,57
_20240911145153_viewcapture-2.3,71,55
_20240911145153_viewcapture-2.4,113,71
_20240911150131_viewcapture-1.1,116,58
_20240911150131_viewcapture-1.2,102,46
_20240911150131_viewcapture-1.3,97,66
_20240911150131_viewcapture-2.1,112,121
_20240911150131_viewcapture-2.3,99,37
_20240911150141_viewcapture-1.1,43,69
_20240911150141_viewcapture-1.2,94,59
_20240911150141_viewcapture-1.3,109,48
_20240911150141_viewcapture-2.1,43,61
_20240911150141_viewcapture-2.2,126,53
_20240911150141_viewcapture-2.3,104,68
_20240911150153_viewcapture-1.1,133,86
_20240911150153_viewcapture-2.1,119,132
_20240911150203_viewcapture-1.1,145,188
_20240911150203_viewcapture-1.3,141,166
